STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,CURRENCY,Currency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FM,Micronesia (Federated States of),GDPCVR,"Variation rate of Gross Domestic Product, current prices",2013,,-3.09,,PERCENT,percent,,,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FM,Micronesia (Federated States of),GDPCVR,"Variation rate of Gross Domestic Product, current prices",2014,,0.66,,PERCENT,percent,,,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FM,Micronesia (Federated States of),GDPCVR,"Variation rate of Gross Domestic Product, current prices",2015,,-0.88,,PERCENT,percent,,,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FM,Micronesia (Federated States of),GDPCVR,"Variation rate of Gross Domestic Product, current prices",2016,,4.99,,PERCENT,percent,,,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FM,Micronesia (Federated States of),GDPCVR,"Variation rate of Gross Domestic Product, current prices",2017,,10.35,,PERCENT,percent,,,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FM,Micronesia (Federated States of),GDPCVR,"Variation rate of Gross Domestic Product, current prices",2018,,6.82,,PERCENT,percent,,,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FM,Micronesia (Federated States of),GDPCVR,"Variation rate of Gross Domestic Product, current prices",2019,,0.49,,PERCENT,percent,,,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FM,Micronesia (Federated States of),GDPCVR,"Variation rate of Gross Domestic Product, current prices",2020,,-5.46,,PERCENT,percent,,,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FM,Micronesia (Federated States of),GDPCVR,"Variation rate of Gross Domestic Product, current prices",2021,,4.81,,PERCENT,percent,,,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FM,Micronesia (Federated States of),GDPCVR,"Variation rate of Gross Domestic Product, current prices",2022,,6.64,,PERCENT,percent,,,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,FM,Micronesia (Federated States of),GDPCVR,"Variation rate of Gross Domestic Product, current prices",2023,,6.16,,PERCENT,percent,,,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCVR,"Variation rate of Gross Domestic Product, current prices",2006,,44.77,,PERCENT,percent,,,,,,,Converted 0.1314 SBD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCVR,"Variation rate of Gross Domestic Product, current prices",2007,,12.67,,PERCENT,percent,,,,,,,Converted 0.1307 SBD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCVR,"Variation rate of Gross Domestic Product, current prices",2008,,11.67,,PERCENT,percent,,,,,,,Converted 0.1291 SBD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCVR,"Variation rate of Gross Domestic Product, current prices",2009,,3.7,,PERCENT,percent,,,,,,,Converted 0.1241 SBD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCVR,"Variation rate of Gross Domestic Product, current prices",2010,,11.53,,PERCENT,percent,,,,,,,Converted 0.124 SBD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,SB,Solomon Islands,GDPCVR,"Variation rate of Gross Domestic Product, current prices",2011,,18.49,,PERCENT,percent,,,,,,,Converted 0.1309 SBD/USD,
